waza,0,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,label
hadouken_1_0,-52.52382044,-167.1249984,135.6585432,146.9441772,17.44718842,79.3302172,126.702855,119.5536836,114.913967,109.849372,94.39870535,81.68235076,85.47352472,-67.96377306,-49.89909245,-92.54480438,-47.86240523,0
hadouken_1_1,-41.18592517,-164.2913622,155.4803573,149.620874,18.92464442,78.53046967,122.0053832,120.2564372,115.4141747,110.4002094,95.44033203,82.33952467,85.96507248,-59.4702941,-44.2151754,-90.0,-47.1210964,0
hadouken_1_2,-42.95459151,-164.2913622,162.5972959,147.7243557,19.44003483,77.19573393,118.1785901,121.2319095,116.0534953,110.8939928,97.05784665,82.99873244,86.43846691,-61.69924423,-44.16968451,-90.0,-45.0,0
hadouken_1_3,-35.21759297,-166.8659777,152.0628572,131.4677054,16.38954033,74.4274564,101.1291893,119.2488263,115.306006,110.2466201,95.29008121,82.75273111,85.98169101,-53.39292519,-39.2072035,-84.55966797,-54.46232221,0
hadouken_1_4,-34.43898931,-168.3106308,147.8287829,113.1985905,14.82647997,74.82708465,80.69005983,118.1625274,114.6973723,109.8895472,94.80795396,82.42705136,85.98169101,-49.53777251,-37.77568431,-83.21102543,-52.12501635,0
hadouken_1_5,-41.7602997,-158.5522637,134.2926806,79.38034472,20.13630343,79.3302172,57.90740867,118.5706985,114.9320612,109.9831065,94.76364169,82.75273111,85.74616356,-58.57043439,-39.80557109,-87.33699923,-43.49256424,0
hadouken_1_6,-43.78112476,-157.5205656,108.4349488,36.46923439,19.093492,63.06047194,35.44571033,118.6861476,114.559891,109.3421143,96.06178879,82.55467515,85.35202931,-60.80251395,-40.31410016,-90.0,-39.0355129,0
hadouken_1_7,-46.16913933,-159.2277453,90.0,23.08513367,17.81888891,54.56668599,25.906508,119.7448813,114.4206164,109.2063264,97.69605172,82.83469127,85.10090755,-64.05770451,-45.0,-91.36392753,-42.64670313,0
hadouken_1_8,-45.0,-157.8336542,29.35775354,13.86968644,19.17900803,44.29268063,21.21796958,119.6871816,114.3045493,108.9246444,98.63080179,82.83469127,84.86883472,-64.72227776,-47.64254529,-94.28915333,-36.19320731,0
